"num","category","theme","title","sourcefile"
"1","ch","自由と時間","週末が怖い","ch01_自由と時間.md"
"2","ch","自由と時間","退屈という贅沢","ch01_自由と時間.md"
"3","ch","自由と時間","効率化の罠","ch01_自由と時間.md"
"4","ch","自由と時間","「いつか」という病","ch01_自由と時間.md"
"5","ch","自由と時間","スケジュールに支配される人生","ch01_自由と時間.md"
"6","ch","自由と時間","睡眠を削る人たち","ch01_自由と時間.md"
"7","ch","自由と時間","通知に切り刻まれる一日","ch01_自由と時間.md"
"8","ch","自由と時間","待てない時代","ch01_自由と時間.md"
"9","ch","自由と時間","「忙しい」が口癖になったら","ch01_自由と時間.md"
"10","ch","自由と時間","老後という神話","ch01_自由と時間.md"
"11","ch","消費と欲望","本当に欲しかったもの","ch02_消費と欲望.md"
"12","ch","消費と欲望","選んでいるつもり","ch02_消費と欲望.md"
"13","ch","消費と欲望","ブランドという宗教","ch02_消費と欲望.md"
"14","ch","消費と欲望","広告が作る「足りなさ」","ch02_消費と欲望.md"
"15","ch","消費と欲望","セールという魔法","ch02_消費と欲望.md"
"16","ch","消費と欲望","「体験を買う」の落とし穴","ch02_消費と欲望.md"
"17","ch","消費と欲望","ミニマリストの矛盾","ch02_消費と欲望.md"
"18","ch","消費と欲望","SNSで見える「持ち物自慢」","ch02_消費と欲望.md"
"19","ch","消費と欲望","サブスクリプションという静かな鎖","ch02_消費と欲望.md"
"20","ch","消費と欲望","「欲しい」と「必要」の違い","ch02_消費と欲望.md"
"21","ch","仕事と労働","やりがいという麻酔","ch03_仕事と労働.md"
"22","ch","仕事と労働","成長という名の自己搾取","ch03_仕事と労働.md"
"23","ch","仕事と労働","好きを仕事にの嘘","ch03_仕事と労働.md"
"24","ch","仕事と労働","意味のない仕事","ch03_仕事と労働.md"
"25","ch","仕事と労働","会社員という身分","ch03_仕事と労働.md"
"26","ch","仕事と労働","朝礼という儀式","ch03_仕事と労働.md"
"27","ch","仕事と労働","昇進という餌","ch03_仕事と労働.md"
"28","ch","仕事と労働","有給を取れない理由","ch03_仕事と労働.md"
